speaker_name,speaker_role,speaker_party,intervention_language,original_language,date,year,debate_title,text,translated_text,topic_name,stance,mentioned_topics,summary
Vytautas Landsbergis ,MEP,PPE,en,en,21/10/2009,2009,Preparation of the European Council (29 and 30 October 2009) (debate) Video of the speechesPV,"Mr President, President Barroso mentioned here yesterday, in his nice response to Mr Farage, that in the EU we need the President of the Council to be a true European. I am sure both of you and many here share that view. Do we also need somebody in that position who would be a true ‘Gazpromian’, like Gerhard Schröder, Paavo Lipponen, etc.? Or maybe you think those qualities are pretty compatible, so a good ‘Gazpromian’, especially if they voted for friendly and bribing relations, is the best European. That way, we could speed up the current development of the EU towards becoming the ‘GU’ – the ‘Gazprom Union’ – and so avoid the situation in which Russia totally ignores the EU while working exclusively on splitting it. What is your opinion about ‘Gazpromians’ for the Presidency?",,Gazprom Union,critical,"EU Presidency, EU-Russia relations, European integration","The speaker critically questions the suitability of individuals with close ties to Gazprom for high-level EU positions, fearing it could lead to the EU becoming a 'Gazprom Union' and be undermined by Russia."
Nessa Childers ,MEP,S&D,en,en,24/11/2009,2009,Preparation of the Copenhagen Summit on climate change (debate) Video of the speechesPV,"Over the last number of days, Ireland has been struck by severe flooding causing devastation for ordinary families, for small businesses and for farmers across the island. Flooding from the River Barrow, the second longest river in Ireland, has meant much of Carlow has been under water for over four days! The deluge in neighbouring Kilkenny is the worst in 60 years! While flooding has always been a fact of life in Ireland, its increasing frequency and severity is another real reminder of the effects of climate change caused by the reckless abuse of our environment. No matter what happens at the UN climate conference in less than two weeks in Copenhagen, extreme weather conditions, like the flooding in Ireland, will become more frequent. We must build up our resilience to the effects of climate change. Madam President, I call on the Irish Government to immediately apply for natural disaster aid relief under the European Solidarity Fund. The Irish people only recently displayed their commitment to the EU by voting strongly for the Lisbon Treaty. The EU needs to show its commitment to the Irish people, including the people of Carlow and Kilkenny, by fast-tracking these relief funds.",,climate change effects,supportive,"climate change, European Solidarity Fund, Lisbon Treaty","The speaker highlights the severe flooding in Ireland as a consequence of climate change and calls on the Irish government to apply for EU disaster relief funds, emphasizing the need for increased resilience and EU commitment to its people."
Nessa Childers ,MEP,S&D,en,en,21/10/2009,2009,Explanations of voteVideo of the speechesPV,"I voted for this joint motion due to my deep concern at the concentration of media ownership in Italy and across Europe. In Ireland, we have a possible similar situation developing and I hope the European Parliament will explore this issue again. These questions must be fully explored and a watching brief should be maintained by the Parliament in relation to these developments and trends in media ownership in Ireland and across the EU. I also note my disappointment that Fianna Fáil TDs voted against this modest motion on media ownership in Italy.",,media ownership,supportive,"media ownership in Italy, media ownership in Ireland, European Parliament","The speaker supports the joint motion due to concerns about media ownership concentration in Italy and potentially Ireland, urging the European Parliament to monitor these developments."
Carlos Coelho ,MEP,PPE,en,pt,20/10/2009,2009,Explanations of voteVideo of the speechesPV," I support this agreement negotiated between the European Community and the Republic of Mauritius, establishing a visa exemption for entry and short stays in order to facilitate the movement of their citizens. EU citizens and Mauritian nationals who travel to the territory of the other contracting party for a maximum period of three months within a six-month period will be exempt from visa requirements. The exceptions are the United Kingdom and the Republic of Ireland, which are not bound by this agreement, and a territorial restriction with respect to France and the Netherlands, for which this agreement only relates to those countries’ European territories. I would point out that anyone who travels with the aim of carrying out a paid activity during a short stay cannot benefit from this agreement, and continues to be subject to the applicable rules of the Community and of each Member State in relation to the visa requirement or waiver and also access to employment. The agreement may be suspended or repealed, but that decision can only be made in relation to all the Member States. I also support the provisional implementation of the agreement pending its entry into force.",,visa exemption agreement,supportive,"EU-Mauritius relations, free movement of citizens, EU external policy","The speaker supports the EU-Mauritius visa exemption agreement, which facilitates short stays for citizens between the two parties, with specific exceptions and conditions regarding employment."
Syed Kamall ,MEP,ECR,en,en,21/10/2009,2009,Explanations of voteVideo of the speechesPV,"Mr President, I think all of us in this Chamber are concerned about media pluralism. We all want to see greater media pluralism right across the EU. I have concerns about media pluralism in a number of Member States. I have concerns about media pluralism in a number of countries outside the EU, but about which the Socialists often never raise this issue, for example, Cuba and North Korea. The Socialists keep rather quiet about media pluralism in these countries. But there is a very important principle here. The Rolling Stones once said ‘You can’t always get what you want’, and when you can’t get what you what, what you do is rely on the democratic process in your country to persuade the people to remove the government you do not support. You do not decide to go to the European Parliament and try to get democratic decisions overturned there. This is a principle that the Conservatives hold dear, and this is why I am proud that the European Conservative and Reformist Group played its part in voting down this despicable resolution.",,media pluralism,critical,"media pluralism, EU democracy, Cuba and North Korea","The speaker criticizes the resolution on media pluralism, arguing that it undermines national democratic processes and expresses concerns about the selective application of the issue to non-EU countries."
José Manuel Barroso,EU Commission President,,en,en,24/11/2009,2009,Question Hour with the President of the CommissionVideo of the speechesPV,"Yes, the High Representative will, at the same time, be Vice-President of the Commission, so it is a great opportunity to put together the CFSP competences – which lie with the High Representative – and the traditional Community competences in external relations. To put it simply, we have the same person performing the task of Javier Solana and Benita Ferrero-Waldner. That person will be doing this as Vice-President of the Commission but also as President of the Council of Foreign Affairs. I think it is extremely important to have this idea at that level. In general, at the level of Heads of State or Government, as the Treaty of Lisbon states very clearly, it is for the President of the Council to represent the European Union in CFSP matters at this level and in that capacity, and for the Commission to represent the European Union in all other external matters, as set out in Article 17 of the Lisbon Treaty.",,EU foreign policy structure,supportive,"CFSP competences, Commission external relations, Treaty of Lisbon","The speech explains the new structure of EU foreign policy where the High Representative will also serve as Vice-President of the Commission, consolidating CFSP and traditional external relations competences under one person."
Carlo Casini ,MEP,PPE,en,it,21/10/2009,2009,Explanations of voteVideo of the speechesPV," Mr President, first of all I wish to correct my first and second votes – I meant to abstain, but I made a mistake because I acted in haste and pressed the wrong button. My first two votes are abstentions from the whole day’s votes. The statement I am making is this: there is a grave original sin in the proposal that has led to today’s debate and it is a sin that has already been pointed out by the President of the Italian Republic. Added to this sin is the opportunism of choosing the Italian Prime Minister’s legal action against certain newspapers – a process that is clearly in full compliance with the rule of law – as a means by which to attack him. Therefore, we have not voted for the proposal by the Group of the Alliance of Liberals and Democrats for Europe, by the Confederal Group of the European United Left – Nordic Green Left, and so on, but nor have we voted for the motion by the Group of the European People’s Party (Christian Democrats) because, although it deserves recognition insofar as it safeguards Italy’s dignity, it totally overlooks the problem of the balance between the media and the other state powers, which exists in Europe and which is a serious problem in Italy too. This does not just concern the Italian Prime Minister’s conflict of interests in this area; it concerns other problems too. At national level, on the other hand, my party, the UDC, is continually challenging the majority on this. I believe that we, too, must send out a message of support by abstaining.",,media balance,critical,"rule of law, conflict of interests","The speaker corrects their votes to abstentions and criticizes a proposal for overlooking the balance between media and state powers, deeming it a grave original sin compounded by opportunism in attacking the Italian Prime Minister."
Erminia Mazzoni ,MEP,PPE,en,it,12/11/2009,2009,The European Ombudsman’s activities (2008) (debate) Video of the speechesPV," Mr President, ladies and gentlemen, as Chairman of the Committee on Petitions and on behalf of all of the committee’s members, I wish to thank the Ombudsman for the work he has done and for the precise report he has produced. I would like to thank Mrs Paliadeli for the excellent contribution she has made to the work of our committee and everyone who has participated in the debate, because they are showing an interest and paying attention with the aim of ensuring that these instruments of democracy and participation are implemented and fulfil the objective that they are intended to fulfil in the Treaties. Studying the 2008 report of the European Ombudsman, we see that, unfortunately, the objective of applying the principle enshrined in Article 41 of the Charter of Fundamental Rights is still far from being met. The right to report cases of maladministration to the Ombudsman, exercised by 3 406 European citizens in 2008, demonstrates an increasing level of dissatisfaction, given that in 2007, the figure was 3 211. I believe that this figure should be compared with the level of knowledge and awareness and thus, I maintain, in opposition to the assertion made by the Member who spoke earlier, that these figures testify to a high level of dissatisfaction among Europeans. Moreover, it is some consolation to learn that only part of these complaints were considered to come under the remit of the European Ombudsman, because a large proportion of the complaints not taken up by the European Ombudsman were transferred to other bodies, including the Committee on Petitions, which I chair. What we, as European institutions and, in particular, as Parliament, must also take responsibility for, in my view, is people’s perception of administrative fairness, how fair our institutions are perceived to be. In spite of the positive confirmation that the European Ombudsman is playing a more functional role, given the increased number of successfully resolved cases, we as Parliament, having received around 10% of the complaints, and as a committee, having received 60%… (The President reminded the speaker of her speaking time) In that case, may I simply add – given that you granted a little more time to someone else, I thought I could allow myself a few seconds more, Mr President, since I am also a chairman – that these institutions have a duty to take steps to improve these instruments of democracy and participation, because we also have the Treaty of Lisbon, which introduces the right of popular initiative. I believe that we must improve, though not change, the functions of these bodies; we have a duty to improve the effectiveness and the productivity of the instruments that we have given to the citizens, if we really want to help build a Europe of the peoples.",,European Ombudsman report,supportive,"instruments of democracy and participation, Charter of Fundamental Rights, Treaty of Lisbon","The speaker thanks the Ombudsman for their report and highlights the increasing dissatisfaction indicated by the number of complaints, emphasizing the need for EU institutions to improve democratic participation instruments."
Helmut Scholz,MEP,GUE/NGL,en,de,21/10/2009,2009,The institutional aspects of the creation of a European external action service - Creation of a European external action service: State of the negotiations with Member States (debate) PV," Mr President, Commissioner, thank you for giving me the opportunity to speak today. The Confederal Group of the European United Left – Nordic Green Left has repeatedly made clear in plenary its fundamental criticism of the direction and nature of the foreign and security policy of the European Union and has been opposed to following this course, including in the Treaty of Lisbon. This joint debate at the beginning of this parliamentary term covers one of the most important reports of the term. Unfortunately, although I understand Mr Brok’s motives from the perspective of parliamentary activity, we have to get something underway within a deadline which makes it difficult to weigh up properly and responsibly the dimensions and complex issues resulting from the content of this new structure. It has become clear during the course of the debate how much unfortunately is still up in the air and therefore within the political poker game between the interests of national power and government and the EU structures. The GUE/NGL group is opposed to this. Therefore, we hope that the European Parliament will have the opportunity after the negotiations to consider the European External Action Service (EEAS) again in accordance with the expectations expressed this morning in plenary to the Swedish Presidency concerning restraint in the formulation of the negotiating mandate. We in Parliament should also ensure that the citizens of Europe are as well-informed as possible about the different aspects of the EEAS, particularly in the face of the doubts and criticism relating to the Treaty of Lisbon and the demand for more transparency and democratic codecision in this respect. The discussions about the establishment of the EEAS have been taking place for months behind closed doors. My group would like to repeat that the failure to include the European Parliament, the civil society organisations that have so far been affected, or even the national parliaments, gives rise to serious questions. This is particularly the case because a lively debate and open and transparent discussions about the institutional structures are of great importance for their legitimacy in future and for their public accountability. As a result, I welcome Mr Brok’s approach in which he attempts, by means of his report, to achieve parliamentary codecision for the European Parliament at the very least. Some of our requests aim to produce the same results. We oppose all efforts – and I say this unequivocally and categorically – to include political-military structures in the EEAS, regardless of whether this happens now or in the future, as has been recently proposed by France, among others, in the Council. The possible combination of military planning, secret service structures and general diplomatic and political tasks is not acceptable from our point of view.",,European External Action Service,critical,"EU foreign policy, Treaty of Lisbon, parliamentary codecision","The speaker expresses fundamental criticism of the EU's foreign and security policy and the establishment of the European External Action Service (EEAS), particularly opposing the inclusion of political-military structures and lack of transparency and democratic codecision."
Ádám Kósa,MEP,PPE,en,hu,15/07/2009,2009,Outcome of the European Council (18-19 June 2009) - Term in office of the Czech Presidency (debate) Video of the speechesPV," Mr President, ladies and gentlemen, I feel deeply moved as I stand here in the European Parliament as the first deaf person able to address you in my mother tongue, Hungarian sign language. I do so not only for myself and the deaf community, but also for every disadvantaged person. I am now beginning to feel that I belong to a European community where even minorities can achieve success. Just take Robert Schuman as an example, who was from Alsace-Lorraine and went on to become the founding father of the EU 50 years ago. Around the end of the EU’s outgoing Czech Presidency, a turn of events unfortunately took place which I would also like to bring to the attention of the EU’s incoming Swedish Presidency. Two weeks ago the Slovak Parliament adopted a regulation which will seriously restrict the rights of the minorities living in that country to use their own language. As a user of sign language, I feel it is my duty to stand up for the rights of people in Europe to use their own language and for the importance of this. This is the reason why I am going to be working here in the European Parliament. However, I want to give a message to every European citizen. I want a Europe where everyone is guaranteed the right to live their life to the full and fulfil their potential. I want a Europe where deaf people represented by me or any person living with a disability, for that matter, really do enjoy equal opportunities. I would like to say a particular word of thanks to Joseph Daul, Chairman of the Group of the European People’s Party (Christian Democrats), for giving me the opportunity to address you on this special day. This also proves that Europe really is about diversity, tolerance and equal opportunities.",,minority language rights,supportive,"deaf community rights, European diversity, equal opportunities","The speaker, the first deaf person to address the European Parliament in Hungarian sign language, advocates for the language rights of minorities and emphasizes the importance of diversity, tolerance, and equal opportunities in Europe."
Tobias Billström,EU Council President,,en,sv,24/11/2009,2009,"Multi-annual programme 2010-2014 regarding the area of freedom, security and justice (Stockholm Programme) (debate) Video of the speechesPV"," Mr President, honourable Members, naturally, I fully agree with what Mrs Ask has just said about the general conclusions regarding the programme. Thank you for all of the constructive points of view that you have presented here today. I would also like to thank the chairmen of the three committees, the Committee on Constitutional Affairs, the Committee on Legal Affairs and the Committee on Civil Liberties, Justice and Home Affairs, for their very constructive cooperation on these matters. As I said in my introductory speech, this really indicates a major accepting of responsibility on the part of all parties involved, which I think is something we have reason to be very proud of. I would like to emphasise the importance of cooperation in all significant areas within this programme. In his speech, Mr Busuttil made comparisons with the magnitude of the internal market, which I think is not so far from the truth, as this is a similar project in terms of its size and importance. One word that has, of course, come up time and again in the political talks on asylum and migration issues in recent years has been solidarity. All the Member States agree that solidarity must be increased, and not only solidarity between Member States, but also solidarity between the EU and third countries. That is the message that we want to send out through the Stockholm Programme. As I said in my introduction, we believe that this complex issue needs very broad and sustainable solutions permeating the whole policy area. That is one of the reasons why there is no specific section on solidarity in the Stockholm Programme. Instead, all of the points contain a solidarity element. The global approach to migration should be one of the important starting points in this connection. The role of Frontex should be strengthened. Mrs Keller mentioned this in her speech. I would like to make it very clear that Frontex alone is not the answer to this problem. Frontex is responsible for the coordination of the Member States’ border controls, but it has no mandate within sea rescue, for example. The situation in the Mediterranean is not primarily a border control problem. It is a problem that requires several different types of measure. Increased cooperation between the countries of origin and transit is of the utmost importance. We also need to invest in development cooperation in the form of aid. I think it is important to emphasise that the European Parliament will be involved to the very highest degree in all of these aspects now that we have the Treaty of Lisbon in place, and democratic control will increase in these areas. Based on everything that has been said here today, I also think that it is important to point out that the Treaty of Lisbon really will bring about a genuine and important change. It is, of course, a major change that will see the ordinary legislative procedure being replaced by one that gives the European Parliament a stronger role in the legislative process in a number of areas. Thus, I do not share any of the concern that Mrs Keller expressed here today with regard to these issues. On the contrary, I think that we are seeing huge progress towards increased democratic control in this policy area. Mr President, like my colleague Mrs Ask, I would like to finish by saying that you are more than welcome to send your opinions to us by e-mail if you did not have an opportunity to present them here today.",,asylum and migration,supportive,"Stockholm Programme, Frontex, Treaty of Lisbon","The speaker expresses full agreement with previous statements on the Stockholm Programme, emphasizing the need for solidarity and broad, sustainable solutions for asylum and migration issues, while also highlighting the increased democratic control and the importance of cooperation and development aid."
András Gyürk ,MEP,PPE,en,hu,21/10/2009,2009,Preparation of the European Council (29 and 30 October 2009) (debate) Video of the speechesPV," We are hoping that by the final October session of the European Council at the latest, the final obstacles will have disappeared preventing the Treaty of Lisbon from coming into force. This agreement may, in many respects, inspire the European Union to have a more efficient decision-making process. I would like to highlight one example: energy security. One sign of progress is that, unlike up until now, energy policy has been given a separate section in an EC Treaty. Based on the events of the last few years, I think that the new chapter will set out the guidelines in the EU’s energy policy. The objectives to be supported include the development of energy efficiency, support for the use of renewable sources and the interconnection of networks. As an MEP from a new Member State, I am particularly pleased that the concept of solidarity also features in the new energy chapter. However, the Treaty of Lisbon does not in any way, at least when it comes to energy policy, present us with a ready-made solution. The inclusion of the new chapter acts much more as a warning: Europe needs to take urgent steps to reduce its dependency and promote its environmental views. The Treaty of Lisbon in itself offers absolutely no guarantee, just an opportunity. This is an opportunity for Member States to consolidate the foundations of a common EU energy policy, while being aware of their own interests. The development of alternative supply routes, the interconnection of networks or even the provision of protection against external purchases cannot be conceived in the future without a suitable degree of political determination and cooperation from Member States.",,Treaty of Lisbon,supportive,"energy security, EU energy policy, interconnection of networks","The speaker expresses hope that the Treaty of Lisbon will soon come into force, enabling a more efficient EU decision-making process, particularly in energy policy, while acknowledging it presents an opportunity rather than a guaranteed solution."
Marielle De Sarnez ,MEP,ALDE,en,fr,15/07/2009,2009,Presentation of the work programme of the Swedish Presidency (debate) Video of the speechesPV," Mr President, we are faced with two issues. The first issue is the crisis. As everyone knows, we need a consistent and common response to the economic and social crisis and thus a European recovery plan to increase investments and to support employment. Europe really must show today that it is more attentive and closer to our fellow citizens when it comes to the difficulties they are facing. It must do more to help those who are affected by the crisis. From that perspective, the situation is urgent. The second issue is finally that of the new development model that must come out of the end of the crisis. It must be a simpler, fairer and more sustainable model, which ensures that finance serves the real economy, which develops new forms of solidarity among Europeans, which takes account of the social and environmental challenges in international trade, and which radically reforms our relations with the world’s poorest countries, and here I am thinking specifically of Africa. In addition to these two major issues there is a democratic requirement that concerns the process for which you, the Swedish Presidency, are responsible. Cecilia Malmström – whom I am pleased to welcome today – knows better than anyone that there are some very important differences between the Treaty of Nice and the Treaty of Lisbon where the appointment procedure is concerned: a simple majority on one hand, and a qualified majority on the other; an appointment on one hand, and a nomination on the other; and a different number of commissioners depending on the treaty. For my part I am really asking you to ensure that the spirit and the letter of the treaties are respected. This falls under your remit, and it is very important for the credibility of our institutions. Thank you in advance.",,European recovery plan,supportive,"economic and social crisis, new development model, Treaty of Lisbon","The speaker advocates for a European recovery plan to address the economic and social crisis, emphasizing the need for a simpler, fairer, and more sustainable development model post-crisis, and calls for respect for the treaties regarding institutional procedures."
